"test_condition","single_accuracy","multiple_accuracy","multiple_precision","multiple_recall","multiple_f1","time_allocation","has_review"
"45分鐘不檢查1",0.8,0.742857142857143,0.714285714285714,0.833333333333333,0.769230769230769,"45分鐘",FALSE
"30分鐘不檢查",0.5,0.657142857142857,0.65,0.722222222222222,0.68421052631579,"30分鐘",FALSE
"30分鐘+6分鐘檢查",0.65,0.714285714285714,0.7,0.777777777777778,0.736842105263158,"30+6分鐘",TRUE
"45分鐘不檢查2",0.75,0.628571428571429,0.666666666666667,0.631578947368421,0.648648648648649,"45分鐘",FALSE
